system   D            wsystem.c:583  maybe_parent_dir                 [   0.00096] Also searching C:\Users\Mr. Mojo Risin\Documents\Visual Studio 2012\Projects\mainprojecttest1\
display  D   display_settings.c:506  _al_score_display_settings       [   0.08482] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08483] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08485] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08486] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08488] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08489] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08491] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08492] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08494] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08495] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08497] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08498] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08502] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08503] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08511] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08513] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08515] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08516] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08518] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08519] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08521] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08522] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08524] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08525] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08527] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08529] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08531] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08532] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08534] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08535] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08537] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08538] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08540] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08541] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08543] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08544] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08546] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08547] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08549] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08550] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08553] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08555] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08557] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08559] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08560] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08562] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08564] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08567] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08569] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08570] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08572] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08573] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08575] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08576] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08578] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08579] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08581] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08582] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08584] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08585] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08587] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08588] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08590] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08591] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08593] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08594] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08596] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08597] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08599] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08600] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08602] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08603] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08605] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08606] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08608] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08610] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08612] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08613] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08615] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08617] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08618] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08620] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08621] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08623] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08625] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08626] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08628] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08629] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08631] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08632] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08634] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08635] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08637] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08638] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08640] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08641] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08643] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08644] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08646] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08647] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08649] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08650] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08651] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08653] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08654] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08656] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08661] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08662] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08664] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08666] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08667] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08669] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08670] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08672] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08673] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08675] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08676] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08678] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08679] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08680] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08682] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08683] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08685] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08686] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08688] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08689] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08691] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08692] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08694] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08695] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08697] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08698] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08700] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08701] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08703] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08704] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08706] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08707] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08709] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08711] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08712] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08714] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08715] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08717] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08718] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08720] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08721] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08723] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08724] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08726] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08727] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08729] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08730] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08732] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08733] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08735] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08736] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08738] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08739] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08741] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08742] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08743] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08745] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08746] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08748] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08749] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08751] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08752] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08754] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08756] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08757] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08759] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08761] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08762] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08764] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08765] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08767] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08768] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08770] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08771] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08773] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.08776] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.08830] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.08833] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.09746] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.14970] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.14977] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.14980] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.14985] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.14989] Returning d3d_display: 00422598
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.14991] al_display=00422598
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.14993] al_display->vt=00421D60
dtor     D               dtor.c:184  _al_register_destructor          [   0.15374] added dtor for object 00438B68, func 510B24D2
dtor     D               dtor.c:184  _al_register_destructor          [   0.15384] added dtor for object 00438C90, func 510B27A7
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16216] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16219] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16221] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16222] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16223] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16224] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16226] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16227] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.16228] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.16230] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.16231] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.16233] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.16234] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18196] added dtor for object 0044A2F0, func 510B2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.25439] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.25445] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.28640] Font Roboto-Bold.ttf loaded with pixel size 0 x 22.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.28644]     ascent=23.0, descent=-6.0, height=29.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.28646] added dtor for object 00444288, func 510B1B3B
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.28715] Font Roboto-Bold.ttf loaded with pixel size 0 x 15.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.28717]     ascent=16.0, descent=-4.0, height=20.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.28724] added dtor for object 0044BFA8, func 510B1B3B
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.28774] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.28776] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.28777] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.28778] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.28780] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.28781] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.28782] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.28783] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.28785] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.28786] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.28787] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.28789] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.28790] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.28815] added dtor for object 0044FC00, func 510B2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29909] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29914] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30010] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30013] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30014] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30015] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30017] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30018] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30019] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30020] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.30022] Fake format
